X,y
1.097627007854649506e+00,6.127731182780592256e+00
1.430378732744838954e+00,9.191962685188704185e+00
1.205526752143287750e+00,8.082242696160323092e+00
1.089766365993793729e+00,5.733055411704157223e+00
8.473095986778094169e-01,8.030180989829027283e+00
1.291788226133312234e+00,9.771253854430518970e+00
8.751744225253850207e-01,7.804302838735805992e+00
1.783546001564159544e+00,9.170713168880126887e+00
1.927325521002058561e+00,8.711223941495632062e+00
7.668830376515554104e-01,7.355100839885802877e+00
1.583450076165329179e+00,8.347173281522808352e+00
1.057789839505808960e+00,8.395814588899854769e+00
1.136089122187864620e+00,7.616542344640454765e+00
1.851193276585322067e+00,1.053021886623967873e+01
1.420721163957738842e-01,4.782582746361724091e+00
1.742585994030814156e-01,5.229348966401191845e+00
4.043679488065143879e-02,4.131810405362774219e+00
1.665239691095875996e+00,1.078158956719346229e+01
1.556313501899700968e+00,8.795852598402722933e+00
1.740024296493638323e+00,9.622062252925616122e+00
1.957236684465528009e+00,1.175486075045283840e+01
1.598317128433447198e+00,7.447192324157895449e+00
9.229587245058636924e-01,5.498391175031857259e+00
1.561058352572910923e+00,9.652571765876745147e+00
2.365488517378664390e-01,3.536523150099438961e+00
1.279842042655047640e+00,9.783147313614435348e+00
2.867065748180928075e-01,4.446500743694531188e+00
1.889337834099167779e+00,8.920558690856745798e+00
1.043696643500143351e+00,9.054031956980814755e+00
8.293238799810471740e-01,7.968486431377566070e+00
5.291112242092539386e-01,7.454892633054331696e+00
1.548467378868433331e+00,9.551446794880686042e+00
9.123006644330970971e-01,5.875676308244588419e+00
1.136867897737297017e+00,9.320668646310924288e+00
3.757960087271028371e-02,3.844735431666749914e+00
1.235270994151754120e+00,8.508269378251657855e+00
1.224191445444842818e+00,8.619826304108276105e+00
1.233867993749513836e+00,7.546593888157707042e+00
1.887496157029248334e+00,1.027656784143382396e+01
1.363640598206966814e+00,9.013128466187426469e+00
7.190158011475720201e-01,6.533472934598345105e+00
8.740639075986829098e-01,5.522790932211854020e+00
1.395262391854529715e+00,8.484025349769645175e+00
1.204509432585396667e-01,5.687738726462649552e+00
1.333533430891335358e+00,7.306032432942640931e+00
1.341275739236318820e+00,7.874192677381285144e+00
4.207651221476818026e-01,4.827141814721407798e+00
2.578525953097066115e-01,6.622821514408460786e+00
6.308567018483677291e-01,6.564864862557539205e+00
7.274215418852452153e-01,6.589726461896845855e+00
1.140393540835759278e+00,6.651264548061961435e+00
8.772030269246406942e-01,7.170858272065738781e+00
1.976747676118452368e+00,9.255910367697980590e+00
2.040896214960561394e-01,4.644099422762519858e+00
4.177535121896693848e-01,4.617414458190126858e+00
3.226190357699925126e-01,5.644290402256476824e+00
1.306216650930796863e+00,8.495240769407331527e+00
5.065832050795642250e-01,5.311450859660697965e+00
9.326215457126125763e-01,7.193871349799483284e+00
4.888511840032054856e-01,4.373492043279110675e+00
3.179391672910394373e-01,3.462559909167512551e+00
2.207502823286102700e-01,5.101642548250367781e+00
1.312659178930546844e+00,8.104651032164168711e+00
2.763659026972276056e-01,5.464129144983789210e+00
3.931647233601069935e-01,7.562638944944263031e+00
7.374503413219282155e-01,7.156830510956198488e+00
1.641986459695870204e+00,8.013137153643453914e+00
1.942025515861225404e-01,5.699623942854220360e+00
1.675889814997607807e+00,7.711762034481303374e+00
1.921968157879261341e-01,4.115005842549069648e+00
1.952918930026791511e+00,9.790515184755742339e+00
9.373024032954031526e-01,8.525249931535576309e+00
1.953522176380674269e+00,9.115811707093582683e+00
1.209691039490091935e+00,6.802634579811260629e+00
1.478527158796603347e+00,8.337128951964377421e+00
7.837558450864134940e-02,3.571648467163816232e+00
5.656139251528191636e-01,6.823477697564964473e+00
2.403931224263378130e-01,3.641247858915590108e+00
5.922803950442898646e-01,4.629372532721767186e+00
2.374554379084881095e-01,4.274546268981030295e+00
6.359663587879520463e-01,5.409866625671551077e+00
8.285259890293399376e-01,8.415110020905006039e+00
1.282949926975687216e-01,5.334305785018466750e+00
1.384944238740039690e+00,8.242383957605309064e+00
1.133202908413150301e+00,6.174173206409283132e+00
5.307789818788908320e-01,6.436699922038219945e+00
1.046496106933399339e+00,6.139272973410633050e+00
1.878810215168833508e-01,3.018871967773038456e+00
1.151892991112358544e+00,8.643708765689376960e+00
1.858592395152428134e+00,9.892719797382133251e+00
6.371379049026473229e-01,6.832272538488760816e+00
1.334820759927363376e+00,8.323189932725110651e+00
2.635957248087843485e-01,5.647617786329044876e+00
1.432654408237131083e+00,7.646937631411247160e+00
5.788121858944021980e-01,4.702193715898742354e+00
3.663827240142336628e-01,5.780742690324328414e+00
1.173025869620166306e+00,6.715667944686657620e+00
4.021509237498710476e-02,3.431095499374760216e+00
1.657880058434726189e+00,8.518107671786836477e+00
9.390952385094131216e-03,4.045652016180339317e+00
